epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,553.061,1.3892,0.91588,0.90907,0.72289,0.71328,0.76322,0.45007,1.37893,0.98563,0.94326,0.0008516,0.0008516,0.0008516
60,563.425,1.37738,0.9164,0.9135,0.70995,0.73005,0.77323,0.47715,1.3165,0.93758,0.93348,0.0008318,0.0008318,0.0008318
61,573.773,1.36468,0.8985,0.90904,0.69915,0.7562,0.79112,0.49242,1.28426,0.93262,0.92973,0.000812,0.000812,0.000812
62,583.999,1.3592,0.89932,0.90891,0.70568,0.73331,0.77569,0.47803,1.33036,0.94247,0.93785,0.0007922,0.0007922,0.0007922
63,594.272,1.39352,0.90449,0.91154,0.72546,0.73106,0.78524,0.48367,1.3111,0.91751,0.93385,0.0007724,0.0007724,0.0007724
64,604.456,1.36973,0.90864,0.91241,0.72352,0.73374,0.78529,0.49055,1.2827,0.91431,0.93235,0.0007526,0.0007526,0.0007526
65,614.215,1.36875,0.90199,0.90986,0.72569,0.71999,0.7741,0.48182,1.30337,0.9223,0.93667,0.0007328,0.0007328,0.0007328
66,624.327,1.36222,0.89147,0.91241,0.7374,0.71596,0.78613,0.48266,1.308,0.91729,0.93356,0.000713,0.000713,0.000713
67,634.301,1.36181,0.89586,0.90797,0.73035,0.72754,0.7901,0.49099,1.28286,0.91555,0.92963,0.0006932,0.0006932,0.0006932
68,644.1,1.36694,0.88436,0.90117,0.73503,0.71697,0.78194,0.48028,1.30402,0.92175,0.93111,0.0006734,0.0006734,0.0006734
69,653.719,1.33941,0.88113,0.90174,0.70552,0.72368,0.77053,0.47908,1.28921,0.96331,0.93126,0.0006536,0.0006536,0.0006536
70,663.821,1.34667,0.88223,0.90479,0.70353,0.71596,0.76399,0.4583,1.35402,0.96522,0.94263,0.0006338,0.0006338,0.0006338
71,673.933,1.35902,0.89106,0.90485,0.7223,0.74212,0.79042,0.49583,1.27416,0.90817,0.92838,0.000614,0.000614,0.000614
72,682.685,1.35075,0.87993,0.90173,0.73771,0.71682,0.78813,0.49945,1.25876,0.8964,0.92913,0.0005942,0.0005942,0.0005942
73,691.586,1.32362,0.86977,0.89735,0.73664,0.74748,0.79975,0.50259,1.26489,0.8972,0.9272,0.0005744,0.0005744,0.0005744
